,consumed_rate,generated_rate,marginal_rate
2019-01-03 20:30:00,340.6491934,247.5738309,484.5196342
2019-01-03 20:45:00,340.6491934,246.991454,607.1771246
2019-01-03 21:00:00,335.7003008,244.4099675,685.0302386
2019-01-03 21:15:00,335.7003008,246.0701101,55.39460822
2019-01-03 21:30:00,335.7003008,246.7086779,62.96764862
2019-01-03 21:45:00,335.7003008,246.7838603,285.5512857
2019-01-03 22:00:00,343.126458,246.6732124,205.0504361
2019-01-03 22:15:00,343.126458,246.7576805,642.8521906
2019-01-03 22:30:00,343.126458,255.4761802,725.7765439
2019-01-03 22:45:00,343.126458,269.7011946,508.290558
2019-01-03 23:00:00,400.5751634,285.404106,36.60206804
2019-01-03 23:15:00,400.5751634,297.8141028,372.9890627
2019-01-03 23:30:00,400.5751634,323.8106464,698.6832823
2019-01-03 23:45:00,400.5751634,368.5788413,515.2896126
2019-01-04 00:00:00,498.5903052,409.7260237,394.6777028
2019-01-04 00:15:00,498.5903052,432.1536259,666.6240679
2019-01-04 00:30:00,498.5903052,471.6605346,682.2693974
2019-01-04 00:45:00,498.5903052,494.3639773,599.4408014
2019-01-04 01:00:00,565.5303078,515.1068092,376.515611
2019-01-04 01:15:00,565.5303078,488.8352402,212.6841228
2019-01-04 01:30:00,565.5303078,499.2470669,763.9779123
2019-01-04 01:45:00,565.5303078,505.511443,527.6353435
2019-01-04 02:00:00,570.2657432,497.7734332,425.5906746
2019-01-04 02:15:00,570.2657432,490.897556,408.21345
2019-01-04 02:30:00,570.2657432,489.6050627,169.7851585
2019-01-04 02:45:00,570.2657432,489.5175683,574.4572597
2019-01-04 03:00:00,574.0904733,489.0345394,115.1614401
2019-01-04 03:15:00,574.0904733,496.0858763,610.5333308
2019-01-04 03:30:00,574.0904733,491.7753529,595.7982265
2019-01-04 03:45:00,574.0904733,488.3433111,355.5749733
2019-01-04 04:00:00,581.4468222,494.4161723,155.4523769
2019-01-04 04:15:00,581.4468222,511.0619202,224.2466616
2019-01-04 04:30:00,581.4468222,510.7622881,502.1903213
2019-01-04 04:45:00,581.4468222,515.2018292,243.743796
2019-01-04 05:00:00,596.973551,515.8052801,426.8770242
2019-01-04 05:15:00,596.973551,522.5175257,312.1344452
2019-01-04 05:30:00,596.973551,522.8328404,400.8639683
2019-01-04 05:45:00,596.973551,522.4365749,708.0108059
2019-01-04 06:00:00,617.6211812,518.8387184,559.2692009
2019-01-04 06:15:00,617.6211812,518.4728262,749.3256153
2019-01-04 06:30:00,617.6211812,522.6510539,503.1426547
2019-01-04 06:45:00,617.6211812,512.2531962,682.4775179
2019-01-04 07:00:00,629.7954544,512.9542322,168.1413576
2019-01-04 07:15:00,629.7954544,514.6852056,499.720818
2019-01-04 07:30:00,629.7954544,510.4910368,696.1564944
2019-01-04 07:45:00,629.7954544,506.6949977,644.3572773
2019-01-04 08:00:00,614.9808026,512.880743,332.9825505
2019-01-04 08:15:00,614.9808026,507.6588565,824.8443957
2019-01-04 08:30:00,614.9808026,504.8526921,244.671384
2019-01-04 08:45:00,614.9808026,507.8550578,668.8136849
2019-01-04 09:00:00,618.8737225,507.5123945,301.9143349
2019-01-04 09:15:00,618.8737225,513.7340837,514.3221645
2019-01-04 09:30:00,618.8737225,514.3318592,312.0028272
2019-01-04 09:45:00,618.8737225,509.1656733,365.2052679
2019-01-04 10:00:00,617.7335312,512.4655147,432.492383
2019-01-04 10:15:00,617.7335312,520.0942459,353.0968509
2019-01-04 10:30:00,617.7335312,519.5395945,562.4154253
2019-01-04 10:45:00,617.7335312,516.6941711,678.6428288
2019-01-04 11:00:00,609.8628778,513.9742482,359.1591134
2019-01-04 11:15:00,609.8628778,512.47726,501.2916534
2019-01-04 11:30:00,609.8628778,513.6123566,739.2011873
2019-01-04 11:45:00,609.8628778,514.6656871,233.3336557
2019-01-04 12:00:00,598.9705193,514.3363793,147.5037457
2019-01-04 12:15:00,598.9705193,503.0939738,744.0738238
2019-01-04 12:30:00,598.9705193,507.3436335,693.485946
2019-01-04 12:45:00,598.9705193,507.7538602,246.7660097
2019-01-04 13:00:00,582.9845922,503.4401605,229.6452731
2019-01-04 13:15:00,582.9845922,486.5943397,332.6437904
2019-01-04 13:30:00,582.9845922,499.1440522,817.2462055
2019-01-04 13:45:00,582.9845922,498.030251,134.2558452
2019-01-04 14:00:00,578.7923369,499.1832344,553.0194961
2019-01-04 14:15:00,578.7923369,492.8990077,368.690946
2019-01-04 14:30:00,578.7923369,500.1790975,482.1476824
2019-01-04 14:45:00,578.7923369,498.9518036,178.9816774
2019-01-04 15:00:00,564.7969611,500.1145623,463.932048
2019-01-04 15:15:00,564.7969611,490.2124572,266.842784
2019-01-04 15:30:00,564.7969611,469.0113827,459.8443861
2019-01-04 15:45:00,564.7969611,443.6435294,601.5977309
2019-01-04 16:00:00,500.5210171,411.3972267,318.6545238
2019-01-04 16:15:00,500.5210171,396.2977059,308.067406
2019-01-04 16:30:00,500.5210171,359.0040026,543.1333521
2019-01-04 16:45:00,500.5210171,329.3132964,819.0111289
2019-01-04 17:00:00,400.683743,310.2270891,319.457355
2019-01-04 17:15:00,400.683743,303.8632804,163.5731164
2019-01-04 17:30:00,400.683743,296.0587806,757.6637452
2019-01-04 17:45:00,400.683743,293.742416,794.1532608
2019-01-04 18:00:00,364.2480404,287.6049929,330.4864897
2019-01-04 18:15:00,364.2480404,289.6479294,188.5117163
2019-01-04 18:30:00,364.2480404,289.2213616,401.2073918
2019-01-04 18:45:00,364.2480404,284.301346,836.5047673
